userID,ratings,positive_ratings,negative_ratings,cluster_shc,group_clusters
0,224,221,3.0,5,13
1,719,711,8.0,22,2
2,570,547,23.0,23,2
3,1032,1020,12.0,27,10
4,140,127,13.0,3,14
5,227,227,0.0,5,13
6,135,129,6.0,1,15
7,1166,1101,65.0,17,12
8,233,224,9.0,12,22
9,744,641,103.0,28,9
10,1212,1112,100.0,18,6
11,474,446,28.0,23,1
12,857,809,48.0,28,9
13,115,115,0.0,2,15
14,933,897,36.0,28,10
15,278,268,10.0,12,22
16,382,337,45.0,9,19
17,212,210,2.0,5,13
18,441,420,21.0,11,20
19,900,775,125.0,17,12
20,309,282,27.0,13,19
21,521,507,14.0,23,1
22,1564,1500,64.0,19,7
23,382,352,30.0,9,19
24,1502,1342,160.0,15,5
25,212,197,15.0,4,13
26,273,254,19.0,12,22
27,1245,1231,14.0,16,11
28,1067,1054,13.0,27,10
29,1279,1265,14.0,16,11
30,533,521,12.0,23,1
31,1279,1266,13.0,16,11
32,908,842,66.0,28,10
33,184,169,15.0,5,13
34,287,276,11.0,12,22
35,644,633,11.0,22,2
36,1287,1277,10.0,16,11
37,916,902,14.0,27,10
38,1786,1665,121.0,15,5
39,664,599,65.0,25,8
40,465,425,40.0,23,1
41,178,166,12.0,5,13
42,812,780,32.0,26,8
43,392,369,23.0,9,19
44,766,680,86.0,28,9
45,183,178,5.0,5,13
46,587,548,39.0,22,2
47,359,334,25.0,9,19
48,410,403,7.0,11,20
49,205,197,8.0,5,13
50,244,228,16.0,12,22
51,310,303,7.0,12,22
52,345,304,41.0,9,19
53,150,149,1.0,1,15
54,1494,1290,204.0,15,5
55,782,770,12.0,24,8
56,1337,1331,6.0,16,11
57,873,855,18.0,24,8
58,286,269,17.0,12,22
59,372,368,4.0,10,21
60,263,237,26.0,13,19
61,1584,1572,12.0,19,7
62,1157,1109,48.0,17,12
63,1183,1181,2.0,16,11
64,778,746,32.0,26,8
65,951,841,110.0,17,12
66,711,665,46.0,26,8
67,215,189,26.0,4,13
68,290,276,14.0,12,22
69,352,341,11.0,10,21
70,544,541,3.0,23,2
71,1154,1058,96.0,17,12
72,325,268,57.0,9,19
73,383,368,15.0,11,20
74,825,785,40.0,28,9
75,269,262,7.0,12,22
76,228,216,12.0,12,22
77,358,330,28.0,9,19
78,1199,1152,47.0,17,12
79,271,235,36.0,13,19
80,1843,1821,22.0,19,7
81,343,270,73.0,9,19
82,215,213,2.0,5,13
83,954,931,23.0,27,10
84,439,431,8.0,11,20
85,452,443,9.0,11,20
86,1068,991,77.0,17,12
87,253,222,31.0,13,19
88,1126,1057,69.0,17,12
89,110,108,2.0,2,15
90,650,635,15.0,22,2
91,835,797,38.0,28,9
92,344,341,3.0,10,21
