user_id,age,gender,occupation,ratings,positive_ratings,negative_ratings,cluster_shc,group_clusters
1,24,M,technician,272,163.0,109.0,12,5
2,53,F,other,62,40.0,22.0,3,2
3,23,M,writer,54,15.0,39.0,23,7
4,24,M,technician,24,19.0,5.0,23,7
5,33,F,other,175,58.0,117.0,8,3
6,42,M,executive,211,134.0,77.0,12,5
7,57,M,administrator,403,274.0,129.0,13,5
8,36,M,administrator,59,40.0,19.0,22,7
9,29,M,student,22,20.0,2.0,15,6
10,53,M,lawyer,184,168.0,16.0,12,5
11,39,F,other,181,86.0,95.0,8,3
12,28,F,other,51,47.0,4.0,3,2
13,47,M,educator,636,269.0,367.0,13,5
14,45,M,scientist,98,75.0,23.0,23,7
15,49,F,educator,104,39.0,65.0,5,2
16,21,M,entertainment,140,116.0,24.0,10,4
17,30,M,programmer,28,12.0,16.0,20,7
18,35,F,other,277,171.0,106.0,8,3
19,40,M,librarian,20,11.0,9.0,23,7
20,42,F,homemaker,48,20.0,28.0,6,2
21,26,M,writer,179,48.0,131.0,23,7
22,25,M,writer,128,74.0,54.0,23,7
23,30,F,artist,151,89.0,62.0,8,3
24,21,F,artist,68,55.0,13.0,6,2
25,39,M,engineer,78,67.0,11.0,19,7
26,49,M,engineer,107,23.0,84.0,19,7
27,40,F,librarian,25,9.0,16.0,6,2
28,32,M,writer,79,50.0,29.0,23,7
29,41,M,programmer,34,23.0,11.0,20,7
30,7,M,student,43,29.0,14.0,15,6
31,24,M,artist,36,26.0,10.0,23,7
32,28,F,student,41,18.0,23.0,1,1
33,23,M,student,24,16.0,8.0,15,6
34,38,F,administrator,20,16.0,4.0,4,2
35,20,F,homemaker,25,8.0,17.0,6,2
36,19,F,student,20,13.0,7.0,1,1
37,23,M,student,57,35.0,22.0,15,6
38,28,F,other,121,74.0,47.0,3,2
39,41,M,entertainment,22,14.0,8.0,21,7
40,38,M,scientist,35,11.0,24.0,23,7
41,33,M,engineer,52,36.0,16.0,19,7
42,30,M,administrator,183,115.0,68.0,10,4
43,29,F,librarian,221,145.0,76.0,8,3
44,26,M,technician,151,99.0,52.0,10,4
45,29,M,programmer,48,27.0,21.0,20,7
46,27,F,marketing,27,21.0,6.0,6,2
47,53,M,marketing,25,15.0,10.0,21,7
48,45,M,administrator,66,42.0,24.0,22,7
49,23,F,student,215,57.0,158.0,2,1
50,21,M,writer,24,14.0,10.0,23,7
51,28,M,educator,23,12.0,11.0,16,8
52,18,F,student,56,49.0,7.0,1,1
53,26,M,programmer,28,20.0,8.0,20,7
54,22,M,executive,65,42.0,23.0,23,7
55,37,M,programmer,21,10.0,11.0,20,7
56,25,M,librarian,187,114.0,73.0,23,7
57,16,M,none,106,51.0,55.0,23,7
58,27,M,programmer,154,109.0,45.0,20,7
59,49,M,educator,382,280.0,102.0,12,5
60,50,M,healthcare,208,179.0,29.0,12,5
61,36,M,engineer,21,7.0,14.0,19,7
62,27,F,administrator,232,114.0,118.0,4,3
63,31,M,marketing,93,31.0,62.0,23,7
64,32,M,educator,200,121.0,79.0,16,8
65,51,F,educator,80,60.0,20.0,5,2
66,23,M,student,38,20.0,18.0,15,6
67,17,M,student,30,19.0,11.0,15,6
68,19,M,student,34,15.0,19.0,15,6
69,24,M,engineer,65,39.0,26.0,19,7
70,27,M,engineer,131,66.0,65.0,18,7
71,39,M,scientist,38,24.0,14.0,23,7
72,48,F,administrator,137,103.0,34.0,4,2
73,24,M,student,66,43.0,23.0,15,6
74,39,M,scientist,39,22.0,17.0,23,7
75,24,M,entertainment,79,40.0,39.0,23,7
76,20,M,student,82,43.0,39.0,15,6
77,30,M,technician,72,38.0,34.0,23,7
78,26,M,administrator,21,11.0,10.0,22,7
79,39,F,administrator,55,38.0,17.0,4,2
80,34,F,administrator,29,17.0,12.0,4,2
81,21,M,student,58,26.0,32.0,15,6
82,50,M,programmer,168,72.0,96.0,10,4
83,40,M,other,155,89.0,66.0,9,4
84,32,M,executive,68,47.0,21.0,23,7
